IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
15.160.15.101,2087,80,false,MXP,Europe,Milan,222,0.00
15.160.15.101,2053,80,false,MXP,Europe,Milan,222,0.00
15.161.186.110,2096,80,false,MXP,Europe,Milan,223,0.00
15.160.15.255,2095,80,false,MXP,Europe,Milan,227,0.00
13.54.173.154,2095,80,false,SYD,Oceania,Sydney,227,0.00
13.54.173.154,2087,80,false,SYD,Oceania,Sydney,227,0.00
13.211.0.227,2096,80,false,SYD,Oceania,Sydney,228,0.00
15.160.14.66,2087,80,false,MXP,Europe,Milan,228,0.00
13.49.6.192,2053,80,false,ARN,Europe,Stockholm,231,0.00
13.53.47.110,2082,80,false,ARN,Europe,Stockholm,233,0.00
13.48.36.215,2096,80,false,ARN,Europe,Stockholm,233,0.00
13.49.119.167,2053,80,false,ARN,Europe,Stockholm,235,0.00
13.54.173.154,2086,80,false,SYD,Oceania,Sydney,236,0.00
13.49.119.167,2083,80,false,ARN,Europe,Stockholm,237,0.00
13.51.138.200,2053,80,false,ARN,Europe,Stockholm,239,0.00
15.161.216.233,2095,80,false,MXP,Europe,Milan,241,0.00
13.53.47.110,2086,80,false,ARN,Europe,Stockholm,242,0.00
15.161.186.110,2095,80,false,MXP,Europe,Milan,244,0.00
13.49.119.167,2095,80,false,ARN,Europe,Stockholm,245,0.00
15.161.215.18,2053,80,false,MXP,Europe,Milan,247,0.00
15.161.215.18,2083,80,false,MXP,Europe,Milan,248,0.00
15.161.186.110,2086,80,false,MXP,Europe,Milan,248,0.00
13.49.119.167,2086,80,false,ARN,Europe,Stockholm,249,0.00
13.48.36.215,2053,80,false,ARN,Europe,Stockholm,256,0.00
15.160.14.66,2095,80,false,MXP,Europe,Milan,256,0.00
13.48.36.215,2052,80,false,ARN,Europe,Stockholm,257,0.00
15.161.215.18,2086,80,false,MXP,Europe,Milan,257,0.00
13.49.119.167,2082,80,false,ARN,Europe,Stockholm,262,0.00
15.161.215.18,2095,80,false,MXP,Europe,Milan,263,0.00
15.161.216.233,2052,80,false,MXP,Europe,Milan,268,0.00
15.161.186.110,2053,80,false,MXP,Europe,Milan,271,0.00
13.51.138.200,2086,80,false,ARN,Europe,Stockholm,277,0.00
15.161.216.233,2082,80,false,MXP,Europe,Milan,277,0.00
15.161.216.233,2086,80,false,MXP,Europe,Milan,279,0.00
15.161.215.18,2087,80,false,MXP,Europe,Milan,285,0.00
13.48.36.215,2082,80,false,ARN,Europe,Stockholm,338,0.00
13.48.140.41,2096,80,false,ARN,Europe,Stockholm,340,0.00
13.49.6.192,2087,80,false,ARN,Europe,Stockholm,349,0.00
15.156.17.176,8443,443,true,YUL,North America,Montréal,367,0.00
15.222.245.142,8443,443,true,YUL,North America,Montréal,386,0.00
13.48.140.41,2052,80,false,ARN,Europe,Stockholm,484,0.00
13.48.36.215,2087,80,false,ARN,Europe,Stockholm,633,0.00
13.48.36.215,2086,80,false,ARN,Europe,Stockholm,640,0.00
13.48.140.41,2053,80,false,ARN,Europe,Stockholm,657,0.00
13.48.36.215,2095,80,false,ARN,Europe,Stockholm,664,0.00
13.48.140.41,2082,80,false,ARN,Europe,Stockholm,788,0.00
13.48.36.215,2083,80,false,ARN,Europe,Stockholm,864,0.00
